id,brewery_id,country,style,availability,abv
12661,1345,US,porter,Year-round,7.0
96469,26634,US,IPA,Rotating,9.0
38224,786,US,dark_lager,Fall,4.9
218819,28529,US,pale_ale,Rotating,5.2
24045,2617,US,wheat,Summer,4.0
121679,33418,US,IPA,Rotating,6.2
93295,1135,US,pale_ale,Rotating,6.4
163587,1162,US,IPA,Rotating,6.8
182321,37078,US,specialty,Rotating,5.4
73989,3365,Europe,pale_ale,Year-round,5.1
336915,34258,US,IPA,Rotating,6.5
330489,1683,US,pale_ale,Winter,5.7
106490,25963,US,IPA,Year-round,9.2
193766,32212,US,pilsener_pale_lager,Rotating,5.0
118228,34390,Asia,pale_ale,Year-round,5.5
320943,48,Europe,strong_ale,Year-round,10.5
36008,4016,US,IPA,Rotating,0.0
114805,46317,US,stout,Rotating,8.0
82008,3105,Europe,pilsener_pale_lager,Year-round,4.8
139809,24326,US,IPA,Rotating,7.2
173354,40535,US,porter,Rotating,6.4
107413,345,US,IPA,Year-round,5.0
64616,43,US,porter,Year-round,5.5
182201,24817,US,IPA,Rotating,8.0
233880,45702,US,IPA,Rotating,8.5
34164,73,US,IPA,Rotating,7.5
169540,37514,US,IPA,Rotating,7.8
329056,43889,US,wheat,Rotating,4.0
6367,1177,US,bock,Spring,6.7
65978,16077,US,pilsener_pale_lager,Year-round,5.1
184344,41807,US,dark_lager,Rotating,6.9
348603,36739,US,IPA,Rotating,8.0
168783,30632,America,stout,Year-round,6.2
130410,34327,US,hybrid,Year-round,5.7
104619,1704,Europe,pilsener_pale_lager,Year-round,4.5
132446,32375,US,pale_ale,Year-round,6.0
48891,16813,US,strong_ale,Spring,9.2
276182,36710,US,IPA,Rotating,7.0
204453,811,US,IPA,Year-round,7.0
186412,37910,US,wheat,Rotating,3.4
197015,41330,US,IPA,Year-round,4.7
110553,33827,US,pale_ale,Rotating,5.8
5568,845,US,pilsener_pale_lager,Year-round,4.8
70091,6045,US,IPA,Rotating,6.8
313344,33510,US,IPA,Rotating,7.8
45598,322,Europe,strong_ale,Rotating,9.0
59074,11753,Europe,specialty,Rotating,7.5
272671,44293,US,IPA,Rotating,6.7
33245,287,US,pilsener_pale_lager,Year-round,5.0
341591,51109,US,wheat,Rotating,0.0
255651,45104,US,porter,Rotating,6.0
93952,16422,Europe,wheat,Year-round,5.3
165675,29180,US,pale_ale,Rotating,6.3
283343,46970,Canada,specialty,Rotating,4.3
145303,32755,Canada,pale_ale,Rotating,7.5
97030,31384,US,wheat,Year-round,5.0
114256,16289,US,pale_ale,Rotating,5.8
367375,26817,US,pilsener_pale_lager,Rotating,7.3
19171,1074,US,wheat,Year-round,4.2
36984,15938,Europe,wheat,Year-round,5.5
363005,39889,US,IPA,Limited (brewed once),9.5
222966,264,Europe,pale_ale,Year-round,4.5
45162,14100,Europe,hybrid,Year-round,4.3
127795,34658,US,brown_ale,Year-round,5.5
150504,27917,US,wild_sour,Year-round,4.2
128757,35617,US,pale_ale,Rotating,5.5
252161,24075,US,pale_ale,Rotating,6.6
88155,30379,US,strong_ale,Rotating,12.7
293809,44082,US,IPA,Rotating,6.8
191496,35402,Oceania,IPA,Year-round,6.5
2411,428,Europe,wheat,Year-round,4.9
44077,12226,Europe,dark_lager,Year-round,6.2
312920,47521,US,IPA,Rotating,8.1
20145,987,US,dark_lager,Rotating,0.0
130616,30471,Europe,dark_ale,Rotating,5.6
30313,3062,US,wheat,Summer,4.5
2302,754,US,dark_ale,Year-round,6.8
317854,43892,Europe,IPA,Rotating,8.5
209357,10546,Europe,pilsener_pale_lager,Rotating,4.7
309320,18858,Canada,specialty,Limited (brewed once),7.0
312161,4950,US,strong_ale,Rotating,7.7
331475,35412,US,stout,Limited (brewed once),0.0
168777,36587,US,stout,Rotating,4.7
223705,99,US,wheat,Summer,5.2
87709,30386,Canada,IPA,Year-round,9.1
309261,31221,Europe,IPA,Rotating,7.0
86566,661,Canada,IPA,Year-round,8.4
133066,36193,US,brown_ale,Year-round,5.0
196638,33482,US,pale_ale,Rotating,6.0
104431,30437,US,dark_lager,Fall,5.8
270497,24102,US,IPA,Rotating,6.2
315991,49460,US,pale_ale,Rotating,5.0
269559,29780,Europe,dark_ale,Rotating,6.8
259063,39356,US,IPA,Rotating,7.5
77012,11977,Canada,strong_ale,Winter,11.0
181201,41165,US,IPA,Year-round,6.0
103425,32514,US,strong_ale,Rotating,8.52
327195,29,US,pilsener_pale_lager,Rotating,8.0
1889,403,US,dark_ale,Winter,7.0
9943,1104,US,IPA,Year-round,0.0
288679,33510,US,IPA,Rotating,6.2
20776,9056,Europe,specialty,Year-round,5.0
48212,19131,Europe,specialty,Year-round,5.5
172408,26753,US,stout,Spring,12.4
82797,11082,Europe,pale_ale,Year-round,6.4
349103,38311,US,IPA,Rotating,6.2
155232,29402,US,porter,Rotating,9.1
200239,37859,Europe,pilsener_pale_lager,Year-round,16.0
294007,46855,Europe,specialty,Year-round,6.2
208600,40326,US,porter,Rotating,8.0
137993,651,US,stout,Rotating,4.9
60129,13446,US,pale_ale,Year-round,5.0
84948,848,US,strong_ale,Year-round,8.4
332402,33145,US,porter,Rotating,8.5
228642,31492,US,pilsener_pale_lager,Rotating,6.8
203455,23305,Europe,pale_ale,Year-round,6.0
16767,9275,Asia,pilsener_pale_lager,Year-round,5.0
48194,148,Europe,stout,Year-round,7.0
211646,33530,US,hybrid,Rotating,5.0
329608,30128,US,pilsener_pale_lager,Year-round,4.8
79047,16859,US,pale_ale,Year-round,5.25
242074,24428,US,pale_ale,Rotating,6.5
74763,1337,US,pale_ale,Rotating,5.7
198302,43012,Asia,IPA,Rotating,4.8
323109,68,US,specialty,Rotating,5.2
61131,1412,US,IPA,Year-round,8.0
13883,12516,US,specialty,Rotating,5.0
38427,16205,US,pale_ale,Year-round,8.0
61275,15943,US,porter,Year-round,6.0
195649,33119,US,pale_ale,Rotating,5.3
40310,4261,Europe,specialty,Winter,8.5
53187,341,US,IPA,Rotating,8.5
99549,27847,US,strong_ale,Rotating,8.5
283317,46299,US,pale_ale,Rotating,4.0
108681,11611,Oceania,pale_ale,Year-round,4.4
22115,13882,Europe,pilsener_pale_lager,Year-round,10.2
59919,19916,US,wheat,Year-round,0.0
157172,29278,US,wild_sour,Rotating,5.0
276944,43007,US,pilsener_pale_lager,Rotating,5.1
259729,14936,US,stout,Rotating,11.0
171164,4980,US,pale_ale,Rotating,6.2
43081,14662,Europe,pale_ale,Year-round,5.5
54833,10271,US,stout,Winter,6.6
